finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_E1,CI_E2,CI_E3,CI_E4,CI_E4_V2,CI_E5,CI_E6,CI_E7,CI_E7_V2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_DF1,CI_DF2,CI_DF3,CI_DF4,CI_DF5,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,F1_D,F1_O,F2_D,F2_O,F3_D,F3_O,F4_D,F4_O,F5_D,F5_O,F6_D,F6_O,F7_D,F7_O,F8_D,F8_O,F9_D,F9_O,F10_D,F10_O,F11_D,F11_O,F12_D,F12_O,P1,P2,P3,P4,P5,P6,P7,P8,P8new,P9,P10,P11,P12,P13,P14,P15,P16,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,RH1,RH2,RH3,RH4,RH5,RH6,RH8,RH9,RH10
010007300,CLINIQUE AMBULATOIRE CENDANEG,OQN,TAA,CLI,T1,M1,C1,,          11,           0,           0,                                      .z,                                      .z,,,,,,,,,,,           2,,,           0,           0,           0,        1491,         530,           0,           0,           0,           0,           0,           0,         535,,        1489,           4,,,,,,           3,,,,,     1118324,,      643718,,           0,,           0,,           0,,,,      994064,,                                      .z,,       54497,,                                      .z,,      102171,,      487623,,       67499,,      123601,,      -92257,,      215856,,           1,Chirurgie du sein : 1,Cataracte : 392,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Cataractes : 395,Greffes peau / parages hors brûlures : 61,Autres chirurgies ophtalmo : 43,Chirurgie inter spécialités : 23,Chirurgie des tissus mous : 4,Endoscopies digestives avec ou sans anesthésie : 1029,Endoscopies digestives thérapeutiques et anesthésie : sé : 431,"Autres séj. sans acte, avec anesthésie, en ambulatoire : 14",Explorations et surveillance pour affections myéloprolif : 4,"Autres Maladies immunitaires, du Sang, des Organes hémat : 4",,,,,,           5,"         1,5",           2,"         1,5",,"        5,18","        1,63","        3,55",,,,,"        11,1",,"         9,1",,         100,,"         0,7",,"        24,8",,           7,,"        75,2",,,,"       -33,9",,"        45,4",,"        19,1",,"        36,6",,,,                                      .z,                                      .z,                                      .z,                                      .z,,,       40251,,,         100,         100,"       121,1",,,N. Calc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,65 - [63 - 68],N. Conc.,A,A,,A,,"     18056,4",       41959,,"         0,4",,                                      .z,                                      .z,                                      .z
010007987,CH HAUTEVILLE-LOMPNES,DGF,TAA,CH,T1,M1,C0,,"         8,7","        0,77","        5,36",                                      .z,                                      .z,           0,"        93,5",,,          11,,,,,,,,,         386,           4,           0,           2,           0,           0,           0,           0,           0,           0,           0,           0,,           0,           2,,,,,,,,,,    31200448,,     1692068,,      540204,,           0,,      540204,,    19941198,,    28467314,,     1174907,,      636241,,      745193,,     2584152,,    37415642,,     3741966,,    16857378,,     1804909,,    15052469,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Trauma crâniens : 0,Intervention  peau et tissu sous-cutané : 1,Ostéomyélites aigües (y compris vertébrales) et arthrite : 0,,,Toxicomanies et alcoolisme : 297,Soins palliatifs : 24,Explorations nocturnes et apparentées : 17,Signes et symptômes : 6,"Cardiopathies, valvulopathies : 1",           8,          20,          98,          19,         100,"       18,52","       15,41","        0,91",,,"       400,2","       40,06","       281,4","        3,28","        8,93","       66,53","         8,8",,"         8,1",,"        81,4",,"         1,4",,"        10,3",,"         2,3",,"        88,4",,"        54,5",,"        23,1",,"       216,1",,"        98,5",,"        32,7",,"       1,031","        2,15",,"         7,5","         1,9","         5,2","        33,2",,,,,,           0,,,          89,"        -0,6",N. Calc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,C,,,A,,,           0,"        18,2",,,"         7,2","        14,2","         0,1"
010008407,CH DU HAUT BUGEY,DGF,TAA,CH,T2,M2,C2,O2,"         6,4","        0,49","        7,08",                                      .z,                                      .z,"        61,1","        84,1","        67,5","        42,2",          68,,           6,,           7,          26,           7,          21,           1,        4944,        1600,         794,        1289,        1444,         257,          14,           0,           0,         237,         646,        2846,       15125,        1109,         103,           1,           1,,,,           3,           1,,      286635,    51963950,,    26686956,,     4673693,,       72000,,     1884348,,     1690116,,    47885097,,    33589158,,     -884585,,    -1360674,,     2573078,,    53242052,,    32991479,,     3191142,,     2970724,,      220418,,           1,,Chirurgie du sein : 0,Cataracte : 282,Arthroscopie du genou : 167,Hernie enfant : 1,RTU prostate : 36,Hernie adulte y compris cœlioscopie : 87,"Chirurgies main, poignet : 379",Cataractes : 282,"Arthroscopies, Biopsies ostéo-articulaires : 160",Chirurgies majeures orthopédiques (dont hanche et fémur : 198,Ablations matériel : 137,affections médicales du nouveau né : 640,Endoscopies digestives avec ou sans anesthésie : 415,Autres gastroentérites et maladies diverses du tube dige : 330,Infections respiratoires : 293,Signes et symptômes : 263,          80,          78,          80,         108,          17,"       50,42","       27,82","        9,12","        5,06","        3,44","      450,25","       58,56","      317,98","        4,31","        27,9","        41,5","         7,8",,"         4,6",,          35,,"        12,8",,"        68,8",,"         1,5",,"        82,8",,"        38,3",,"        22,6",,"        24,3",,"        97,4",,"        50,3",,"       0,978","       0,904","       0,927","        27,1","        10,8",          22,"        18,7",,       36283,      255179,"       21,36","       71,26","       47,44","       82,27","        93,8",          77,"         5,5",N. Calc.,78 - [75 - 82],39% - [28% - 50%],88% - [78% - 94%],54% - [42% - 65%],90 - [87 - 92],N. Conc.,D,A,C,B,          32,"     15708,3","     63323,5","        22,6","         1,4","         4,9","         5,9","        97,9",
010780054,CH BOURG EN BRESSE,DGF,TAA,CH,T3,M4,C3,O4,"        12,7","        1,48","       10,18",                                      .z,                                      .z,"        45,3","        75,6","       102,7","        53,5",         292,          12,          10,          12,          29,          78,          15,          64,           4,       15633,        4976,        2548,        5252,        2759,         741,        5288,       17764,        9320,        1719,        2204,        7106,"     25210,5",        4105,         143,           1,           2,,,           2,           9,           2,,      987139,   160302478,,   106269742,,     7256565,,      892135,,      143705,,     4746286,,   150105593,,   120844816,,      652671,,      490768,,    10014660,,   151599047,,     2718593,,    43565619,,    14226796,,    29338822,,           1,,Chirurgie du sein : 125,Cataracte : 81,Arthroscopie du genou : 279,Hernie enfant : 5,RTU prostate : 138,Hernie adulte y compris cœlioscopie : 228,Chirurgies majeures orthopédiques (dont hanche et fémur : 540,"Chirurgies main, poignet : 536","Chirurgies transurétrales, autres : 380",Chirurgies utérus / annexes : 375,Hernies : 310,affections médicales du nouveau né : 2297,Douleurs chroniques : 1008,Endoscopies digestives avec ou sans anesthésie : 1049,Infections respiratoires : 726,Endoscopies digestives thérapeutiques et anesthésie : sé : 565,         114,           0,          20,          50,          33,"      164,08","      111,15","       15,25","       12,89","        7,75","     1709,32","      233,04","     1138,19","       10,76","      107,34","      219,99","         6,4",,"         6,1",,"        94,8",,"         0,3",,           2,,"        15,1",,"        78,9",,"        58,7",,"        34,6",,"       105,9",,"        86,1",,"        46,5",,           1,"       1,004",           1,"        28,4","         9,6","        17,6","        16,7",,       34955,      265839,"       18,15","        78,1","       35,67","       67,82","        83,6",           5,          67,N. Calc.,77 - [73 - 80],36% - [26% - 48%],89% - [80% - 95%],76% - [65% - 85%],86 - [84 - 89],98% - [91% - 99%],B,C,B,A,          44,"     17604,3","    115365,8","        24,4","         1,8","         5,5","         6,8","         8,5","         4,4"
010780062,CH DE BELLEY,DGF,TAA,CH,T2,M2,C2,O2,"         9,9","         0,8","       18,22",                                      .z,                                      .z,"        55,7","        66,5","        88,8","        49,7",          75,,           4,,           5,          20,           5,          12,           0,        3571,        1162,         556,         786,         705,         173,         367,           0,           0,         314,         472,        1643,       11838,         733,         101,           1,,,,,           2,           1,,,,,    18760013,,,,       32000,,      907267,,,,,,    24895734,,,,,,,,,,,,,,,,,,           1,,Chirurgie du sein : 1,Cataracte : 0,Arthroscopie du genou : 52,Hernie enfant : 2,RTU prostate : 48,Hernie adulte y compris cœlioscopie : 116,Chirurgies majeures orthopédiques (dont hanche et fémur : 212,Hernies : 164,actes ORL et stomato divers : 93,Intervention  peau et tissu sous-cutané : 59,"Chirurgies main, poignet : 117",affections médicales du nouveau né : 464,Infections respiratoires : 202,Endoscopies digestives avec ou sans anesthésie : 236,Symptômes digestifs : 233,Cardiologie autres : 183,,,,,,"       31,11","       20,19","         6,6","        1,02","        1,17","      463,39","       52,47","      328,27","        2,79","       26,54","       53,32",,,,,,,,,,,,,,,,,,,,,,,,,"       0,852","       0,878","        0,91",          26,"        10,9","        19,8","        20,8",,,      264188,"       15,68","       62,06","       37,76","       80,39","        64,1","         1,9",          67,N. Calc.,81 - [76 - 86],39% - [28% - 50%],94% - [86% - 98%],81% - [71% - 89%],80 - [77 - 83],73% - [54% - 87%],B,B,B,B,          45,"     30410,7","     58999,8","        28,4","         3,5",           8,"         6,8","         5,8",           0
010780096,CH MONTPENSIER TREVOUX,DGF,TAA,CH,T1,M1,C1,,"        19,5","        1,13","       41,78",                                      .z,                                      .z,           0,"        86,7",,,          59,,,,,,,,,        1839,          92,           0,           9,           1,           0,           0,           0,           0,           7,           0,           1,,          39,          39,,,,,,,,,,    24149257,,     8118356,,       74061,,       72000,,       34061,,     4310084,,    20756994,,     6792744,,     1046112,,      928886,,     3161306,,    42048444,,     9923111,,     9619130,,     1974756,,     7644374,,           1,,Chirurgie du sein : 0,Cataracte : 1,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Traumatismes du bassin et des membres : 52,Intervention  peau et tissu sous-cutané : 8,"Occlusions, sub-occlusions digestives : 14","Bronchites, bronchiolites et asthme : 8",Ostéomyélites aigües (y compris vertébrales) et arthrite : 5,Infections respiratoires : 237,Soins palliatifs : 162,"Cardiopathies, valvulopathies : 175",Autres affections du système nerveux : 164,"Névroses, psychoses et autres troubles mentaux : 94",,,,,,"       13,53","       10,83",,,,"      222,01","       19,31","      183,93","        3,81","        5,22","        9,74",          14,,"        12,7",,"        83,9",,"         3,1",,"        24,7",,"        14,5",,"        76,8",,"        22,1",,"        34,7",,"       169,1",,         131,,"        51,7",,"       0,983","       0,924",,"        36,4","         9,5","         1,2","        19,3",,,,,,"        1,08",           0,,"        10,3",          67,N. Calc.,90 - [87 - 93],79% - [68% - 87%],94% - [86% - 98%],80% - [70% - 88%],N. Conc.,N. Conc.,A,,,B,,,,"        25,1",,,"         9,2","         5,4",
010780195,CLINIQUE CONVERT BOURG-EN-B.,OQN,TAA,CLI,T3,M2,C3,,"        10,1","        0,32","        3,68",                                      .z,                                      .z,"        27,6","        91,3","        68,9",,          61,           6,           5,          10,,          94,          26,,,        3378,        4720,           2,        4212,        5593,           1,        2964,           0,           0,         209,           0,        8631,       13438,        4097,          77,           1,           1,,,           1,           8,,,,,    28850260,,    27460558,,       69852,,           0,,       36000,,,,    24876979,,                                      .z,,     1589417,,                                      .z,,     3011561,,    14077690,,     1269839,,     1429687,,     -766410,,     2196093,,           1,Chirurgie du sein : 72,Cataracte : 1819,Arthroscopie du genou : 305,Hernie enfant : 0,RTU prostate : 198,Hernie adulte y compris cœlioscopie : 228,Cataractes : 1820,actes ORL et stomato divers : 1339,Chirurgies majeures orthopédiques (dont hanche et fémur : 511,"Arthroscopies, Biopsies ostéo-articulaires : 461","Chirurgies main, poignet : 350",Endoscopies digestives avec ou sans anesthésie : 1454,Endoscopies digestives thérapeutiques et anesthésie : sé : 1088,Cathéthérismes diagnostiques vasculaires et coronariens : 628,Cathétérismes thérapeutiques vasculaires et coronariens : 623,Cardiologie autres : 375,           0,           0,           0,           0,           0,"        58,5",          24,"        16,5","        12,5",           3,"      243,06","       34,65","      189,78","        0,51","        7,09","       11,03",,"        13,8",,"        10,4",,         100,,"         0,4",,"        15,1",,"         2,8",,"        76,9",,"        45,1",,"       -11,2",,          21,,          37,,"        61,7","       0,918","       0,969","        1,21",                                      .z,                                      .z,                                      .z,                                      .z,,,      408704,,,"       53,88","       79,26","        98,5",,          67,N. Calc.,81 - [78 - 85],43% - [31% - 54%],98% - [91% - 99%],54% - [42% - 65%],75 - [71 - 78],52% - [38% - 65%],C,B,A,A,           0,"     61970,2",      143926,          21,"         0,2",,                                      .z,                                      .z,                                      .z
010780203,HÔPITAL PRIVÉ D'AMBERIEU,OQN,TAA,CLI,T2,M2,C2,O2,"         5,1","        0,09","        4,72",                                      .z,                                      .z,"        36,6","       115,9","        68,9","        76,1",          28,,           6,,           2,          38,          12,          15,,        3303,        2269,        1056,        1888,        2436,         131,          12,           0,           0,          43,         907,        4048,       17322,        2077,          78,,,,,,           5,           1,,,,,,    12855684,,     1155588,,           0,,       72251,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,           1,Chirurgie du sein : 17,Cataracte : 324,Arthroscopie du genou : 104,Hernie enfant : 0,RTU prostate : 29,Hernie adulte y compris cœlioscopie : 117,actes ORL et stomato divers : 630,Cataractes : 324,"Amygdalectomies, VG, drains transT : 334",Chirurgies rectum/anus (hors résections) : 178,Chirurgies utérus / annexes : 233,affections médicales du nouveau né : 888,Endoscopies digestives avec ou sans anesthésie : 824,Endoscopies digestives thérapeutiques et anesthésie : sé : 381,Explorations et surveillance pour affections endocrinien : 306,Infections respiratoires : 146,           0,          22,          31,          25,          67,"       38,83","       18,25","        10,5","        3,26",           5,"      241,22","       58,77","      159,22","        1,98","       12,31","        8,94",,,,,,,,,,,,,,,,,,,,,,,,,"       0,881","       0,904","       0,922",                                      .z,                                      .z,                                      .z,                                      .z,,,      259634,"       18,41","       72,84","       51,74","       75,24","        92,3",,          67,N. Calc.,87 - [84 - 89],63% - [51% - 73%],61% - [50% - 72%],75% - [64% - 84%],84 - [81 - 87],45% - [24% - 68%],C,C,C,C,          51,"     53341,5","     89598,2","        18,8","         1,1","         2,6",                                      .z,                                      .z,                                      .z
010780294,NEPHROCARE CH BELLEY,OQN,TAA,CLI,T0,,,,,,,                                      .z,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,Chirurgie du sein,Cataracte,Arthroscopie du genou,Hernie enfant,RTU prostate,Hernie adulte y compris cœlioscopie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,                                      .z,                                      .z,                                      .z,,,,,,,,,,          67,Donnée Manquante,Donnée Manquante,Donnée Manquante,Donnée Manquante,Donnée Manquante,Donnée Manquante,Donnée Manquante,,,,,,,,,,,                                      .z,                                      .z,                                      .z
020000022,CH DE GUISE,DGF,TAA,CH,T1,M1,C1,,"        11,4","        1,55","        50,3",                                      .z,                                      .z,           0,"        83,5",,,          28,,,,,,,,,         896,          74,           0,         176,          15,           0,           0,           0,           0,           0,           0,           0,,          21,          51,,,,,,,           0,,,    17243345,,     5904096,,       72605,,           0,,       11265,,     2780666,,    16928445,,     5253899,,     -833015,,     -790753,,      -16872,,    21103150,,     8473840,,     2801719,,     1540985,,     1260734,,           1,,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Traumatismes du bassin et des membres : 38,Trauma crâniens : 21,"Occlusions, sub-occlusions digestives : 14",Intervention  peau et tissu sous-cutané : 5,"Bronchites, bronchiolites et asthme : 7","Cardiopathies, valvulopathies : 71",Infections respiratoires : 98,Signes et symptômes : 38,Maladies osseuses et arthropathies : 40,Cardiologie autres : 37,          40,          77,         150,          25,          33,"        7,97","        6,82",,,,"      194,88","        19,7","      146,57","        2,76","        4,68","       21,17","         1,8",,"        -0,1",,,,,,"        42,5",,"         2,4",,"        77,3",,"        24,1",,"        33,2",,"        60,4",,"       124,2",,"        51,7",,"       0,864","       0,762",,"        30,3","        16,7","         3,7",          21,,,,,,"       16,85",,,"         1,6",          85,N. Calc.,83 - [80 - 86],41% - [30% - 53%],91% - [83% - 97%],80% - [70% - 88%],Donnée Manquante,N. Conc.,C,,,C,,,,          28,,,,,
