finess,zone,A1bis,A2bis,A3bis,A4bis,A5bis
970100012,01,"         9,4","         5,1","        10,8","        26,9","         5,3"
970100020,01,"        12,8",           0,,           0,"         7,2"
970100111,01,,,,,
970100137,01,"         0,6",           0,,,"         0,4"
970100178,01,"        12,7","        14,4","        15,8",           8,          11
970100186,01,           0,           0,           0,           0,
970100202,01,"         1,9","         0,4","         0,3","         0,3","         1,4"
970100228,01,"        35,7","        40,8","        42,1","        12,4","        36,4"
970102596,01,"         1,9",           0,,,"         0,2"
970103099,01,"         0,7",           0,,,"         0,2"
970107249,01,"        18,9","        30,1","        30,5","        48,6","        22,7"
970107454,01,,,,,
970111662,01,,,,,
970202156,02,"         2,1","         0,1",,,"         1,2"
970202164,02,"         1,7",           0,,,"         0,9"
970202313,02,"         9,9","        17,7","        13,6","        42,4","         8,4"
970202321,02,"         5,9","        10,4","        10,9","        18,1",           5
970203774,02,,,,,
970209219,02,,,,,
970211207,02,          75,"        64,9",          75,"        35,5","        73,2"
970300265,03,"         7,3","         4,3","         3,8","         4,1","         9,8"
970302022,03,"        50,3","        44,6",          45,"        24,5","        36,2"
970302055,03,"        16,5","        22,3",          12,"        51,4","         8,1"
970302071,03,"         1,2",,,,"         0,7"
970302121,03,"        14,1","        14,5","        38,6",           3,"         5,6"
970403606,04,"         8,8","         6,4","        11,6","         5,3","         4,6"
970404018,04,,,,,
970404109,04,"         0,6",,,,           0
970404158,04,,,,,
970404844,04,"         2,3","         4,6","         0,8","        14,5","         1,8"
970405064,04,,,,,
970405411,04,,,,,
970405452,04,,,,,
970408589,04,"        58,1","        42,9","        46,8","        16,2","        58,2"
970421038,04,"        10,5","         8,2","        15,2","         3,6","         4,7"
970462024,04,"         0,5","         0,1","         7,4","         2,9",           0
970462073,04,"         4,5",          11,"         4,8","        21,3","         5,9"
970462081,04,"         2,4","         9,2","         0,1","        16,6","         3,6"
970462107,04,"        10,6","        15,2",          13,           7,"        17,2"
970466751,04,           0,,,"        11,6","         0,3"
980500763,06,,,,,
750000523,11,"         1,5","         1,7","         1,5",           1,"         1,5"
750000549,11,"         0,4","         0,6",,"         1,6","         0,2"
750006728,11,"         0,5","         1,3",           1,"         0,9","         0,9"
750041543,11,"         0,1",           0,,           0,
750055287,11,           0,           0,,,           0
750100018,11,"         0,6","         0,3",           0,"         0,5",
750100042,11,"         1,5","         1,5","         1,6","         0,5",
750100075,11,"         1,4","         1,4","         0,2","         0,5",
750100083,11,"         0,1",           0,,,
750100091,11,"         1,6","         1,1","         0,1","         0,7",
750100109,11,"         0,9","         0,8",           2,"         0,4",
750100125,11,"         3,8","         3,3","         1,6","         0,8",
750100166,11,"         2,4","         1,7","         3,6","         1,3",
750100208,11,"         1,6","         1,3","         1,2","         0,6",
750100216,11,           0,           0,,,
750100232,11,"         2,3","         1,7","         1,4","         0,4",
750100273,11,"         1,5","         1,2","         1,6","         0,5",
750100299,11,"         0,1",           0,,,
750110025,11,"         0,1","         0,8",,"         2,1",           0
750120016,11,"         0,4","         0,4",,"         0,2","         0,6"
750140014,11,"         0,5","         0,2",,           0,"         0,1"
750150013,11,           0,           0,"         1,6","         0,2",           0
750150104,11,"         0,6","         1,2",           1,"         0,8",           1
750150146,11,"         0,1",           0,,,           0
750150187,11,"         0,1",,,,"         0,3"
750150252,11,"         0,1",           0,,,           0
750150286,11,           0,,,,"         0,2"
750150344,11,           0,,,,"         0,1"
750150377,11,           0,           0,,,           0
750160012,11,"         0,6",           1,,"         0,6","         4,7"
750300014,11,"         0,7","         0,2",,"         0,2","         0,3"
750300071,11,"         0,5","         1,1",           0,"         1,7","         0,3"
