finess,zone,A1bis,A2bis,A3bis,A4bis,A5bis
750000523,11,,"         1,2","         1,2","         1,3","         0,6"
750000549,11,,"         0,3","         0,6",,"         1,2"
750006728,11,,"         0,4","         1,1","         0,9","         0,5"
750041543,11,,"         0,4",           0,,
750100018,11,,           1,"         0,6",           0,           1
750100042,11,,"         1,5","         1,3","         1,6","         0,3"
750100075,11,,"         1,8","         1,1","         0,2","         0,3"
750100083,11,,"         0,1","         0,2",,"         0,1"
750100091,11,,"         1,6","         1,1","         1,5","         0,5"
750100109,11,,"         0,8","         0,9","         1,3","         0,5"
750100125,11,,"         3,8","         2,7","         1,6","         0,7"
750100166,11,,           3,"         1,8","         3,1","         1,4"
750100208,11,,"         1,4","         1,3","         0,8","         0,3"
750100216,11,,"         0,2",           0,,
750100232,11,,"         2,1","         1,6","         1,5","         0,4"
750100273,11,,"         1,3","         1,1","         1,5","         0,5"
750100299,11,,"         0,1",           0,,
750110025,11,,"         0,1","         0,8",,"         1,5"
750120016,11,,,,,
750140014,11,,"         0,3","         0,1",           0,           0
750150013,11,,           0,           0,"         1,5","         0,3"
750150104,11,,"         0,4","         0,9",           1,"         0,6"
750150146,11,,"         0,2","         0,4",,
750150187,11,,"         0,1",,,
750150252,11,,"         0,1",           0,,
750150286,11,,           0,,,
750150310,11,,           0,           0,,
750150344,11,,,,,
750150377,11,,           0,           0,,
750160012,11,,"         0,6","         0,9",,"         0,6"
750300014,11,,"         0,7","         0,1",,"         0,2"
750300071,11,,"         0,3","         1,1",           0,"         1,4"
750300089,11,,           0,"         0,4",,"         0,6"
750300097,11,,           0,"         0,1",,"         0,6"
750300121,11,,"         0,2","         0,7",,"         0,7"
750300139,11,,"         0,4","         0,3",           0,"         0,2"
750300154,11,,"         0,4",           1,           0,"         0,6"
750300220,11,,"         0,2","         0,4","         0,1","         0,7"
750300360,11,,"         0,4","         0,7",,"         1,3"
750300410,11,,"         0,1","         0,2","         0,6","         0,3"
750300493,11,,           0,"         0,4",,           0
750300550,11,,"         0,1","         0,3",,"         0,7"
750300592,11,,"         0,2","         0,5",           0,"         0,2"
750300667,11,,,,"         1,2",
750300741,11,,"         0,1","         0,2",,"         1,1"
750300766,11,,"         0,3","         0,6",           0,"         0,5"
750300774,11,,           0,"         0,6",,"         1,7"
750300840,11,,"         0,2","         0,3","         0,6","         1,3"
750300857,11,,           0,"         0,2",,"         0,3"
750300881,11,,"         0,5","         0,4",           0,"         0,9"
750300907,11,,"         0,2",,,"         0,5"
750300915,11,,"         0,2","         0,4",           0,"         0,4"
750300931,11,,           0,"         0,1","         0,8","         0,1"
750301137,11,,"         0,4","         0,6",           0,"         0,4"
750301145,11,,"         0,4","         0,7","         0,2","         0,9"
750301152,11,,"         0,1","         0,2",           0,"         0,4"
750301160,11,,           0,"         0,8",,"         0,4"
750712184,11,,,,,
750790164,11,,,,,           0
750801441,11,,"         0,1",           0,,
750803447,11,,"         1,7","         1,4","         0,6","         0,5"
750803454,11,,"         0,9","         0,9","         1,7","         0,5"
770016087,11,,,,,
770110013,11,,"         0,5","         0,4","         0,5","         0,3"
770110021,11,,"         0,5","         0,4","         0,8","         0,2"
770110054,11,,"         0,8","         0,4","         1,4","         0,3"
770110062,11,,"         0,4","         0,3","         0,4","         0,2"
770110070,11,,"         0,4","         0,3","         0,3","         0,2"
770130052,11,,"         0,2","         0,1",,"         0,1"
770150019,11,,"         0,3",           0,,           0
770170017,11,,"         0,9","         0,7","         1,4","         0,4"
770300010,11,,"         0,2","         0,4","         0,6","         0,8"
770300093,11,,"         0,1","         0,3",,"         0,5"
770300135,11,,"         0,2","         0,4",,"         0,4"
770300143,11,,"         0,2","         0,6","         0,4","         0,7"
770300176,11,,"         0,3","         0,6",           0,"         1,8"
770300192,11,,"         0,1","         0,3",           0,"         0,5"
770300275,11,,"         0,2","         0,5","         0,3","         0,6"
770300283,11,,"         0,3","         0,4",           0,"         0,8"
770700185,11,,           1,"         0,9","         1,9","         0,3"
770790707,11,,"         0,2","         0,4","         0,6","         0,5"
770813400,11,,"         0,2","         0,5",,"         0,4"
780000436,11,,"         0,1","         0,2",           0,"         0,1"
780001236,11,,"         1,4","         1,2","         2,4","         0,9"
780002697,11,,"         0,4","         0,4","         0,6","         0,2"
780008298,11,,           0,           0,,
780017802,11,,,,,
780018727,11,,"         0,1","         0,3","         0,3","         0,4"
780110011,11,,"         0,9","         0,5","         1,3","         0,5"
780110037,11,,"         0,1",           0,,
780110052,11,,"         0,6","         0,4","         0,5","         0,4"
780110078,11,,"         1,2","         0,8","         1,2","         0,5"
780150017,11,,"         0,1",           0,,
780150033,11,,,,,
780150058,11,,           0,           0,,
780150066,11,,"         0,2",           0,,
780300075,11,,"         0,2",           0,,
780300125,11,,"         0,2","         0,5",           0,"         0,5"
780300208,11,,"         0,2","         0,4","         0,2","         0,9"
780300323,11,,"         0,3","         0,6","         0,6","         0,9"
780300364,11,,"         0,5","         0,5",,"         0,7"
780300406,11,,"         0,4","         0,7","         0,7","         0,7"
780300414,11,,"         0,6","         0,8",,           1
780300422,11,,"         0,5","         0,9","         0,7","         1,8"
780300455,11,,"         0,3","         0,6",           0,"         1,3"
780630026,11,,"         0,1",,,
910002609,11,,,,,
910002773,11,,"         1,6","         0,9","         1,7","         0,3"
910009349,11,,,,,
910015965,11,,"         0,1",           0,,
910019447,11,,"         0,5","         0,4","         0,8","         0,3"
910019454,11,,"         0,2","         0,2","         0,4","         0,1"
910100015,11,,"         0,4",           0,,
910100023,11,,"         0,3",           0,,
910110014,11,,"         0,4","         0,3","         0,7","         0,2"
910110055,11,,"         0,8","         0,7","         1,3","         0,3"
910110063,11,,"         0,4","         0,3","         0,5","         0,2"
910150010,11,,           0,           0,,
910150028,11,,"         0,4",           0,,           0
910150069,11,,"         0,2",           0,,           0
910150085,11,,,,,
910300011,11,,"         0,3","         0,4",,           1
910300029,11,,"         0,1",           0,,           0
910300060,11,,"         0,1",           0,,
910300144,11,,"         0,5","         0,7","         0,5","         0,9"
910300177,11,,"         0,2","         0,8","         0,5",           1
910300219,11,,"         0,7",           1,"         0,6","         0,8"
910300300,11,,"         0,3","         0,2",,"         0,4"
910300326,11,,           0,           0,,
910300359,11,,"         0,2","         0,3","         0,6","         0,4"
910803543,11,,"         0,6","         0,9","         0,8","         1,1"
910805357,11,,"         0,2","         0,6","         0,5","         1,1"
920000635,11,,"         0,1",           0,,           0
920000643,11,,"         0,4","         0,4","         1,2","         0,2"
920000650,11,,           1,"         1,1","         1,1","         0,4"
920000684,11,,"         0,2","         0,3",,           0
920008539,11,,,,,
920009909,11,,"         0,3","         0,3","         1,9","         0,3"
920026374,11,,"         0,4","         0,2","         0,9","         0,1"
920100013,11,,"         1,2","         0,8",           0,"         0,5"
920100021,11,,"         1,3","         0,5","         1,7","         0,5"
920100039,11,,"         0,8","         0,9","         1,2","         0,1"
920100047,11,,"         0,9","         0,3","         1,5",           0
920100054,11,,"         0,7","         0,3",,"         0,1"
920100062,11,,"         0,2",           0,"         0,3",
920110020,11,,"         0,4","         0,4","         0,8","         0,3"
920110053,11,,"         0,1",           0,,
920120011,11,,,,,
920300043,11,,"         1,3","         1,5","         2,1",           3
920300183,11,,"         0,5","         0,2",,"         0,4"
920300191,11,,"         0,2","         0,4",,           1
920300209,11,,           0,"         0,1","         0,6","         0,4"
920300266,11,,"         0,2","         0,3",,"         0,5"
920300365,11,,"         0,1","         0,4",           0,           1
920300415,11,,"         0,2","         0,3","         0,5","         0,4"
920300597,11,,"         0,2","         0,3","         0,2","         0,6"
920300670,11,,"         0,1","         0,2","         0,5","         0,3"
920300712,11,,"         0,1","         0,3",           0,"         1,3"
920300753,11,,"         0,5","         0,8",,"         0,2"
920300761,11,,"         0,1","         0,5",           0,"         0,7"
920300787,11,,,,,
920300837,11,,"         0,1","         0,1","         0,4","         0,3"
920300845,11,,           0,,,
920300936,11,,"         0,2","         0,4",,"         0,2"
920301033,11,,           0,           0,,
920803798,11,,"         0,1","         0,2",,"         0,5"
930014428,11,,,,,
930021480,11,,           1,"         0,7","         1,1","         0,6"
930022603,11,,,,,
930100011,11,,"         0,2",           0,,           0
930100037,11,,"         1,3","         0,8","         0,3","         0,3"
930100045,11,,"         0,9","         0,3","         1,6","         0,3"
930110036,11,,"         0,7","         0,6","         1,6","         0,4"
930110051,11,,"         1,1","         0,6","         1,7","         0,4"
930110069,11,,"         0,9","         0,8","         1,4","         0,2"
930150032,11,,           0,,"         1,1",           0
930300025,11,,"         0,4","         0,6","         0,7","         0,7"
930300066,11,,"         0,5","         0,5",           0,"         0,8"
930300082,11,,"         0,2","         0,4",           0,"         0,6"
930300116,11,,"         0,4","         0,7","         1,4","         1,4"
930300264,11,,"         0,1","         0,5",,"         0,4"
930300298,11,,"         0,2","         0,6",           1,"         0,9"
930300504,11,,"         0,2","         0,3","         0,2","         0,5"
930300553,11,,"         0,4","         0,6","         1,3","         0,7"
930300587,11,,"         0,2","         0,4",,"         0,7"
930300595,11,,"         0,4","         0,5","         0,5","         0,8"
930300629,11,,"         0,2","         0,3","         0,4","         0,7"
