finess,zone,A1bis,A2bis,A3bis,A4bis,A5bis
970100012,01,"         9,7","         7,3","        11,2","        21,2",
970100020,01,"        10,3",           0,,"         0,1",
970100111,01,"         1,6",,,,
970100137,01,"         0,5",           0,,,
970100178,01,"        13,1","        13,1","        15,4","         7,5",
970100186,01,           0,           0,           0,           0,
970100202,01,"         2,4","         1,9","         2,5","         0,8",
970100228,01,"        40,1","        39,2","        42,6","        17,4",
970102596,01,"         1,4",           0,,,
970103099,01,"         0,9",           0,,,
970107249,01,"        14,1","        29,4","        27,8","        48,3",
970107454,01,,,,,
970111662,01,,,,,
970202156,02,"         2,1","         0,1",,,
970202164,02,"         1,8","         0,1",,,
970202313,02,"         7,7","        16,3","        10,4","        39,3",
970202321,02,"         5,6","        10,5",          11,          20,
970203774,02,,,,,
970209219,02,,,,,
970211207,02,"        78,1","        66,6","        78,2","        37,4",
970300265,03,          13,"        22,8",          17,          21,
970302022,03,"        51,8","        43,8","        39,7","        14,6",
970302055,03,"         7,2","         9,5","         9,3","        16,9",
970302071,03,"         0,9",,,,
970302121,03,"        15,9","        11,3","        33,4","         6,4",
970403606,04,"         9,2","         5,9","         9,8","         5,9",
970404018,04,,,,,
970404109,04,"         0,7",,,,
970404158,04,,,,,
970404844,04,"         1,7","         3,9",           1,"        13,9",
970405064,04,,,,,
970405411,04,,,,,
970405452,04,,,,,
970408589,04,"        57,2","        44,4","        50,4","        17,1",
970421038,04,"        11,4",          10,"        14,9","         3,5",
970462024,04,           0,           0,"         5,1","         2,5",
970462073,04,"         4,3","        10,3","         5,6","        21,6",
970462081,04,"         1,8",           7,"         0,1","        11,9",
970462107,04,"        11,5","        15,7","        12,8","         8,2",
970466751,04,"         0,1",,,"        14,4",
980500763,06,,,,,
750000523,11,"         1,2","         1,5","         1,5","         0,8",
750000549,11,"         0,3","         0,6",,"         1,4",
750006728,11,"         0,5","         1,3","         0,9","         0,7",
750041543,11,"         0,1",           0,,           0,
750055287,11,           0,           0,,,
750100018,11,"         0,9","         0,5",           0,"         0,9",
750100042,11,"         1,6","         1,5","         1,6","         0,4",
750100075,11,"         1,6","         1,3","         0,2","         0,3",
750100083,11,"         0,1",           0,,,
750100091,11,"         1,7","         1,1","         1,5","         0,7",
750100109,11,"         0,8","         0,9","         1,3","         0,5",
750100125,11,"         3,9","         2,9","         1,3",           1,
750100166,11,"         2,5","         1,7","         3,4","         1,1",
750100208,11,"         1,4","         1,2",           1,"         0,4",
750100216,11,           0,           0,,,
750100232,11,"         2,3","         1,6","         1,5","         0,4",
750100273,11,"         1,4","         1,1","         1,3","         0,5",
750100299,11,"         0,1",           0,,,
750110025,11,"         0,1","         0,8",,"         1,8",
750120016,11,"         0,4","         0,5",,           0,
750140014,11,"         0,4","         0,2",,           0,
750150013,11,           0,           0,"         1,5","         0,3",
750150104,11,"         0,5","         1,1","         1,1","         0,7",
750150146,11,"         0,2",           0,,,
750150187,11,"         0,1",,,,
750150252,11,"         0,1",           0,,,
750150286,11,           0,,,,
750150344,11,           0,,,,
750150377,11,           0,           0,,,
750160012,11,"         0,6",           1,,"         0,6",
750300014,11,"         0,7","         0,2",,"         0,2",
750300071,11,"         0,3","         1,1",           0,"         1,5",
750300089,11,           0,"         0,5",,"         0,5",
750300097,11,           0,"         0,1",,"         0,6",
750300121,11,"         0,2","         0,7",           0,"         0,7",
750300139,11,"         0,4","         0,3",           0,"         0,2",
750300154,11,"         0,4",           1,           0,"         0,7",
750300360,11,"         0,4","         0,7",,"         1,2",
750300410,11,"         0,1","         0,2","         0,6","         0,4",
750300493,11,           0,"         0,4",,           0,
750300550,11,"         0,1","         0,3",,"         0,8",
750300592,11,"         0,2","         0,6",           0,"         0,3",
750300667,11,           0,,"         1,1",,
750300741,11,"         0,1","         0,2",,           1,
750300766,11,"         0,3","         0,6",           0,"         0,5",
750300774,11,           0,"         0,6",,"         1,8",
750300840,11,"         0,2","         0,3","         0,8","         1,4",
750300857,11,           0,"         0,2",,"         0,2",
750300881,11,"         0,5","         0,4",           0,"         0,9",
750300915,11,"         0,2","         0,4",           0,"         0,4",
750300931,11,           0,           0,"         0,7","         0,1",
750301137,11,"         0,4","         0,6",           0,"         0,4",
750301145,11,"         0,3","         0,6","         0,2",           1,
750301160,11,           0,"         0,8",,"         0,4",
750712184,11,,,,,
750790164,11,,,,           0,
750801441,11,"         0,1",           0,,,
750803447,11,"         1,8","         1,6","         0,1","         0,5",
