finess,rs,champ_pmsi,taa,cat,taille_MCO,taille_M,taille_C,taille_O,A7,A8,A9,A10,A11,A12,A13,A14,A15,CI_AC1,CI_AC2,CI_AC3,CI_AC4,CI_AC5,CI_AC6,CI_AC7,CI_AC8,CI_AC9,CI_A1,CI_A2,CI_A3,CI_A4,CI_A5,CI_A6,CI_A7,CI_A8,CI_A9,CI_A10,CI_A11,CI_A12,CI_A13,CI_A14,CI_A15,CI_E1,CI_E2,CI_E3,CI_E4,CI_E4_V2,CI_E5,CI_E6,CI_E7,CI_E7_V2,CI_F1_D,CI_F1_O,CI_F2_D,CI_F2_O,CI_F3_D,CI_F3_O,CI_F4_D,CI_F4_O,CI_F5_D,CI_F5_O,CI_F6_D,CI_F6_O,CI_F7_D,CI_F7_O,CI_F8_D,CI_F8_O,CI_F9_D,CI_F9_O,CI_F10_D,CI_F10_O,CI_F11_D,CI_F11_O,CI_F12_D,CI_F12_O,CI_F13_D,CI_F13_O,CI_F14_D,CI_F14_O,CI_F15_D,CI_F15_O,CI_F16_D,CI_F16_O,CI_F17_D,CI_F17_O,CI_A16_1,CI_A16_2,CI_A16_3,CI_A16_4,CI_A16_5,CI_A16_6,CI_A18_1,CI_A18_2,CI_A18_3,CI_A18_4,CI_A18_5,CI_A17_1,CI_A17_2,CI_A17_3,CI_A17_4,CI_A17_5,CI_DF1,CI_DF2,CI_DF3,CI_DF4,CI_DF5,CI_RH1,CI_RH2,CI_RH3,CI_RH4,CI_RH5,CI_RH6,CI_RH7,CI_RH8,CI_RH9,CI_RH10,CI_RH11,F1_D,F1_O,F2_D,F2_O,F3_D,F3_O,F4_D,F4_O,F5_D,F5_O,F6_D,F6_O,F7_D,F7_O,F8_D,F8_O,F9_D,F9_O,F10_D,F10_O,F11_D,F11_O,F12_D,F12_O,P1,P2,P3,P4,P5,P6,P7,P8,P8new,P9,P10,P11,P12,P13,P14,P15,P16,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,RH1,RH2,RH3,RH4,RH5,RH6,RH8,RH9,RH10
010007300,CLINIQUE AMBULATOIRE CENDANEG,OQN,TAA,CLI,T1,M1,C1,,                                      .c,           0,           0,                                      .z,                                      .z,,,,,,,,,,,           2,,,           0,           0,           0,        1362,         229,           0,           0,           0,           0,           0,           0,         229,,        1362,           4,,,,,,           2,,,,,      770105,,      461371,,           0,,           0,,           0,,          58,,      615228,,                                      .z,,       67333,,                                      .z,,      126029,,      434743,,      109181,,       69780,,      -98709,,      168490,,"      0,9904",Chirurgie du sein : 0,Cataracte : 227,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Cataractes : 227,Greffes peau / parages hors brûlures : 0,Autres chirurgies ophtalmo : 0,Chirurgie inter spécialités : 1,Chirurgie des tissus mous : 0,Endoscopies digestives avec ou sans anesthésie : 911,Endoscopies digestives thérapeutiques et anesthésie : sé : 441,"Autres séj. sans acte, avec anesthésie, en ambulatoire : 4",Explorations et surveillance pour affections myéloprolif : 1,"Autres Maladies immunitaires, du Sang, des Organes hémat : 3",,,,,,"         2,8",           1,"         0,4","         1,4",,"        4,43","        1,85","        2,58",,,,,"        20,1",,"        16,2",,         100,,"         0,9",,"        43,5",,"         3,6",,          65,,,,"       -58,6",,"        41,4",,"        22,1",,"        22,2",,,,                                      .z,                                      .z,                                      .z,                                      .z,,,       25704,,,         100,         100,          52,,,81,N. Conc.,N. Conc.,N. Conc.,N. Conc.,85 ± 1,,A,,,,,"     11772,9",       87315,,,,                                      .z,                                      .z,                                      .z
010007987,CH HAUTEVILLE-LOMPNES,DGF,TAA,CH,T1,M1,C0,,                                      .c,"        0,52","       15,71",                                      .z,                                      .z,           0,          90,,,          11,,,,,,,,,         377,           5,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,,           2,           7,,,,,,,,,,    30000418,,     1659464,,      180942,,           0,,      156740,,    20285093,,    26023030,,      465756,,     2002995,,     1778663,,     3887637,,    34445975,,     5877028,,     9938533,,     1316459,,     8622074,,"      1,0137",,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Trauma crâniens : 0,Intervention  peau et tissu sous-cutané : 1,Ostéomyélites aigües (y compris vertébrales) et arthrite : 0,,,Toxicomanies et alcoolisme : 172,Soins palliatifs : 42,Explorations nocturnes et apparentées : 22,Signes et symptômes : 47,"Cardiopathies, valvulopathies : 2",,,,,,"        15,9","        13,5",,,,"       469,8","       47,29","      341,15","        4,72","        8,96","       67,68","        13,3",,"        12,6",,"        85,1",,"         1,5",,"        17,7",,"         2,7",,"        84,2",,"        44,3",,"        18,5",,"       139,4",,"        69,7",,"        46,2",,"       0,946","       1,629",,           0,           2,"         5,9","        31,3",,,,,,           0,,,,"         1,1",59,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,,A,,,,,,,"        14,9",,,,,           0
010008407,CH DU HAUT BUGEY,DGF,TAA,CH,T2,M2,C2,O2,                                      .c,"        0,49","        5,77",                                      .z,                                      .z,           0,"        79,9",          77,"        55,4",          71,,           6,,           7,          28,           8,          21,,        4758,        1434,         989,        1273,        1286,         274,           0,           0,           0,         164,         780,        2694,       14877,        1089,          96,           1,,,,,           4,           1,     6884161,,    45822971,,    24611199,,     3257644,,           0,,     1607653,,     2735107,,    42009295,,    32618223,,     -151396,,     -461534,,     1772142,,    62749716,,    39107281,,     4286690,,     4567010,,     -280320,,"      0,9921",,Chirurgie du sein : 5,Cataracte : 192,Arthroscopie du genou : 174,Hernie enfant : 1,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 107,"Chirurgies main, poignet : 372",Cataractes : 193,"Arthroscopies, Biopsies ostéo-articulaires : 169",Chirurgies majeures orthopédiques (dont hanche et fémur : 181,Ablations matériel : 100,affections médicales du nouveau né : 784,Endoscopies digestives avec ou sans anesthésie : 429,Autres gastroentérites et maladies diverses du tube dige : 297,Infections respiratoires : 205,Signes et symptômes : 279,,,,,,"       49,16","       26,27","        8,67","        5,66","        4,04","      583,75","       60,13","      450,45",           3,"       26,47","        43,7","         8,3",,"         3,4",,"        13,1",,"        22,1",,"        66,5",,"         2,2",,"        70,4",,"        25,2",,"        39,7",,"        37,2",,"       104,4",,"        42,7",,"       0,975","       0,859","       0,934","        26,1","         9,8",          21,          18,,,      196749,"       24,49","       54,16","       47,28","       78,81","        73,1",,"         2,7",86,76 ± 4,40% ± 11%,36% ± 11%,8% ± 6%,76 ± 5,,A,,,,          34,"     16281,7","     66997,8",          22,"         1,2","         4,6",,,           0
010780054,CH BOURG EN BRESSE,DGF,TAA,CH,T3,M4,C3,O4,                                      .c,"         1,6","        9,67",                                      .z,                                      .z,          44,          80,"        90,3","        55,2",         281,           9,           6,          12,          29,          94,          15,          64,           4,       14162,        4515,        2460,        3899,        1443,         744,        4796,       17344,        6882,        1533,        2120,        5579,       22138,        3243,         137,           1,           1,,,,           9,           2,    23219313,,   149512063,,   109528726,,    22145045,,           0,,    12761773,,     3719835,,   127843525,,   106842256,,     2244373,,     1617896,,    21404801,,   131524983,,     4918190,,    54756370,,    20281678,,    34474692,,"      0,9922",,Chirurgie du sein : 153,Cataracte : 0,Arthroscopie du genou : 186,Hernie enfant : 3,RTU prostate : 130,Hernie adulte y compris cœlioscopie : 191,Chirurgies majeures orthopédiques (dont hanche et fémur : 466,"Chirurgies main, poignet : 436","Chirurgies transurétrales, autres : 208",Chirurgies utérus / annexes : 356,Hernies : 256,affections médicales du nouveau né : 2214,Douleurs chroniques : 260,Endoscopies digestives avec ou sans anesthésie : 717,Infections respiratoires : 663,Endoscopies digestives thérapeutiques et anesthésie : sé : 393,,,,,,"      146,96","       97,46","        11,1","        11,4",          10,"     1811,86","      240,11","      1264,4","       11,12","       97,56","      198,67","        14,5",,"        13,9",,"        96,4",,"         0,2",,           4,,"         5,8",,"        72,3",,"        49,9",,"        57,9",,"       156,3",,"       101,2",,          34,,"       1,031","       1,034","       1,079","        23,8","         7,6","        16,5","        17,9",      771406,,      214216,"       16,37","       75,47","       24,22","       52,76","        43,7","         2,8",,91,71 ± 4,33% ± 10%,61% ± 11%,16% ± 8%,77 ± 3,,A,,,,          40,"     15645,5","    128485,9",          15,"         1,8","         4,3",,,           0
010780062,CH DE BELLEY,DGF,TAA,CH,T2,M2,C2,O2,                                      .c,"        0,63","       10,25",                                      .z,                                      .z,"        40,6",          53,"        63,7","        65,7",          97,,           4,,           5,          37,,          12,,        3630,        1578,         669,         804,         478,         184,         455,           0,           0,          19,         544,        1820,       11158,        1002,         113,           1,,,,,           3,           1,     4728510,,    36442577,,    20998314,,     2739299,,           0,,     1024573,,     4091277,,    33245024,,    25089015,,      564475,,      471162,,     3814437,,    20367986,,     2407715,,     4940797,,     4643859,,      296938,,"      0,9902",,Chirurgie du sein : 1,Cataracte : 0,Arthroscopie du genou : 65,Hernie enfant : 0,RTU prostate : 43,Hernie adulte y compris cœlioscopie : 136,Chirurgies majeures orthopédiques (dont hanche et fémur : 188,Hernies : 179,actes ORL et stomato divers : 97,Intervention  peau et tissu sous-cutané : 83,"Chirurgies main, poignet : 118",affections médicales du nouveau né : 562,Infections respiratoires : 169,Endoscopies digestives avec ou sans anesthésie : 246,Symptômes digestifs : 215,Cardiologie autres : 103,,,,,,"       42,63","       25,98","        5,42","        4,34","        2,39","      495,79","       57,73","      357,65","        1,86","       30,32","       48,23","         8,8",,"        10,1",,"        91,7",,"         0,6",,"        17,2",,"         1,3",,"        74,8",,"        52,3",,          51,,"        54,2",,"        94,5",,"       104,7",,"        0,97","       0,939","        0,95","        28,8","        10,6","        20,9","        20,2",      384432,,      211580,"        18,2","       43,15","       23,25","        48,8",,"         5,6",,85,65 ± 4,18% ± 8%,73% ± 10%,25% ± 9%,76 ± 2,,A,,,,          42,"     18865,5","     86341,3","        33,8",           1,"         4,4",,,           0
010780096,CH MONTPENSIER TREVOUX,DGF,TAA,CH,T1,M1,C1,,                                      .c,"        0,87","       36,76",                                      .z,                                      .z,           0,          89,,,          31,,,,,,,,,         675,          12,           0,           4,           0,           0,           0,           0,           0,           0,           0,           0,,          13,          27,,,,,,,,,,    18721361,,     4121435,,      281714,,           0,,      149492,,     3853763,,    14123616,,     3006230,,     2206230,,     1774092,,     4260724,,    33879718,,    11959721,,     7870158,,     2292072,,     5578085,,"      0,9799",,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Traumatismes du bassin et des membres : 8,Intervention  peau et tissu sous-cutané : 0,"Occlusions, sub-occlusions digestives : 2","Bronchites, bronchiolites et asthme : 1",Ostéomyélites aigües (y compris vertébrales) et arthrite : 0,Infections respiratoires : 63,Soins palliatifs : 153,"Cardiopathies, valvulopathies : 42",Autres affections du système nerveux : 33,"Névroses, psychoses et autres troubles mentaux : 29",,,,,,"         9,5","         8,5",,,,"      247,58","       17,73","      201,04","        3,36","        4,73","       20,72","        24,6",,"        22,1",,"        89,5",,"         2,8",,"        37,2",,"        10,7",,"        73,4",,"        15,6",,"        59,2",,"       203,4",,"       117,3",,"        43,9",,"       1,184","       0,959",,"        28,8","         6,9",           1,"        22,8",,,,,,           0,,,           0,,82,83 ± 4,83% ± 8%,95% ± 5%,35% ± 10%,N. Conc.,,,,,,,,,"        21,8",,,,,           0
010780195,CLINIQUE CONVERT BOURG-EN-B.,OQN,TAA,CLI,T3,M2,C3,,                                      .c,"        0,28","        3,58",                                      .z,                                      .z,"        24,1","       122,3","        48,4",,          32,,           4,           8,          11,         132,          21,,,        3066,        5306,           5,        2660,        4509,           1,        3010,           0,           0,         114,           0,        8522,       11638,        3692,          82,           1,           1,,           1,,           8,,,,,    25952751,,    24994894,,      102336,,           0,,       36143,,,,    23683554,,                                      .z,,      767210,,                                      .z,,     1903383,,    10020669,,     3210365,,    -2195249,,    -2377295,,      182049,,"      1,0095",Chirurgie du sein : 59,Cataracte : 1498,Arthroscopie du genou : 327,Hernie enfant : 2,RTU prostate : 220,Hernie adulte y compris cœlioscopie : 213,Cataractes : 1504,actes ORL et stomato divers : 951,Chirurgies majeures orthopédiques (dont hanche et fémur : 441,"Arthroscopies, Biopsies ostéo-articulaires : 337","Chirurgies main, poignet : 425",Endoscopies digestives avec ou sans anesthésie : 1213,Endoscopies digestives thérapeutiques et anesthésie : sé : 929,Cathéthérismes diagnostiques vasculaires et coronariens : 424,Cathétérismes thérapeutiques vasculaires et coronariens : 451,Cardiologie autres : 141,,,,,,"       41,23",          12,"        15,4","         9,4",           2,"      244,95","       39,01","      192,91",,"        3,88","        9,15",,"         8,7",,"         7,2",,         100,,"         1,7",,"        67,4",,"         3,8",,          73,,"        22,1",,"       -36,6",,"       -33,8",,"        16,8",,"        52,3","       0,884","       0,897","       0,993",                                      .z,                                      .z,                                      .z,                                      .z,,,      354671,,,"       45,72","        66,7","        98,2",,,81,68 ± 4,18% ± 8%,98% ± 3%,89% ± 7%,81 ± 3,,A,,,,           0,       70510,"    132048,8","        20,3","         0,2",,                                      .z,                                      .z,                                      .z
010780203,HÔPITAL PRIVÉ D'AMBERIEU,OQN,TAA,CLI,T2,M2,C2,O2,                                      .c,"        0,14","        2,06",                                      .z,                                      .z,"        33,9","       292,3","        46,4","        75,5",           4,,,,           2,          56,           5,          17,,        2641,        2233,        1146,        2744,        1803,          90,          23,           0,           0,           9,         970,        3545,       14062,        1721,          73,           1,,,,,           5,           1,     2952847,,,,,    10630449,,     1081019,,           0,,           0,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,"      1,0014",Chirurgie du sein : 8,Cataracte : 383,Arthroscopie du genou : 46,Hernie enfant : 0,RTU prostate : 9,Hernie adulte y compris cœlioscopie : 109,actes ORL et stomato divers : 304,Cataractes : 383,"Amygdalectomies, VG, drains transT : 333",Chirurgies rectum/anus (hors résections) : 123,Chirurgies utérus / annexes : 111,affections médicales du nouveau né : 968,Endoscopies digestives avec ou sans anesthésie : 676,Endoscopies digestives thérapeutiques et anesthésie : sé : 369,Explorations et surveillance pour affections endocrinien : 0,Infections respiratoires : 132,,,,,,"        30,2","        14,5","         6,7","         3,5",           4,"      171,12","       34,46","      128,72",           1,"        2,44","         4,5",,,,,,,,,,,,,,,,,,,,,,,,,"       0,858","       0,913","       0,892",                                      .z,                                      .z,                                      .z,                                      .z,,,      214908,"       17,63","       65,83","       44,62","       67,32","       164,1",,,72,82 ± 3,41% ± 11%,65% ± 10%,56% ± 11%,60 ± 3,,A,,,,          52,"     41611,3","    116531,9",          18,           1,"         3,7",                                      .z,                                      .z,                                      .z
010780294,NEPHROCARE CH BELLEY,OQN,TAA,CLI,T0,,,,                                      .c,,,                                      .z,                                      .z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,,,,                                      .z,,,,,,,,,,,,,,,Chirurgie du sein,Cataracte,Arthroscopie du genou,Hernie enfant,RTU prostate,Hernie adulte y compris cœlioscopie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                      .z,                                      .z,                                      .z,                                      .z,,,,,,,,,,,,N. Conc.,N. Conc.,N. Conc.,N. Conc.,N. Conc.,,,,,,,,,,,,                                      .z,                                      .z,                                      .z
020000022,CH DE GUISE,DGF,TAA,CH,T1,M1,C1,,                                      .c,"        5,18","       36,56",                                      .z,                                      .z,"        22,2","        79,9",,,          28,,,,,,,,,         851,          27,           0,         146,          16,           2,           0,           0,           0,           0,           1,           1,,          26,          60,,,,,,,,,,    15717621,,     5496726,,      287450,,       25000,,       87629,,     2736355,,    14120499,,     4716466,,      351235,,      -44928,,     1139054,,    24790676,,    10923859,,     5338104,,     2570126,,     2767978,,"       1,023",,Chirurgie du sein : 0,Cataracte : 0,Arthroscopie du genou : 0,Hernie enfant : 0,RTU prostate : 0,Hernie adulte y compris cœlioscopie : 0,Traumatismes du bassin et des membres : 21,Trauma crâniens : 5,"Occlusions, sub-occlusions digestives : 3",Intervention  peau et tissu sous-cutané : 11,"Bronchites, bronchiolites et asthme : 0","Cardiopathies, valvulopathies : 22",Infections respiratoires : 42,Signes et symptômes : 13,Maladies osseuses et arthropathies : 35,Cardiologie autres : 32,,,,,,"         3,9","         3,7","         0,1",,,"      264,69","       22,82","      214,83","         1,6","        4,72","       20,72","        10,2",,"         6,7",,"        46,5",,"         9,6",,"        46,1",,"         2,1",,"        70,9",,"        15,3",,"        66,4",,         138,,"       112,6",,"        39,6",,"       0,914","       0,811",,          32,          11,           4,"        21,1",,,,           0,           0,"       37,21",,,"         1,1",,81,96 ± 2,81% ± 9%,95% ± 5%,50% ± 11%,N. Conc.,,C,,,,,,        1000,"        49,8",,,,,           0
